agency_code,proj_code,s_id,o_id,h_no,h_desig_num_pref,h_desig_master,h_desig_subdiv,h_desig_suffix,h_upper_depth,h_lower_depth,h_texture,h_texture_qual,h_soil_water_stat,h_stickiness,h_plasticity_type,h_plasticity_deg,h_water_repellence,h_carbonate_eff,h_bound_distinct,h_bound_shape,h_permeability,h_notes,h_ec,h_salinity_depth,h_dispersion
799,AS1,NT41,1,4,NULL,NULL,NULL,NULL,0.43,0.64,CL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
799,AS1,NT41,1,5,NULL,NULL,NULL,NULL,0.64,0.89,CL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
799,AS1,NT42,1,1,NULL,NULL,NULL,NULL,0,0.02,SL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,D,NULL,NULL,NULL,NULL,NULL,NULL
799,AS1,NT42,1,2,NULL,NULL,NULL,NULL,0.02,0.08,SCL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
799,AS1,NT42,1,3,NULL,NULL,NULL,NULL,0.08,0.25,SLC,NULL,NULL,NULL,NULL,NULL,NULL,NULL,D,NULL,NULL,NULL,NULL,NULL,NULL
799,AS1,NT42,1,4,NULL,NULL,NULL,NULL,0.25,0.51,SMC,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
799,AS1,NT42,1,5,NULL,NULL,NULL,NULL,0.51,0.76,MC,NULL,NULL,NULL,NULL,NULL,NULL,NULL,D,NULL,NULL,NULL,NULL,NULL,NULL
799,AS1,NT42,1,6,NULL,NULL,NULL,NULL,0.84,0.96,MC,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
799,AS1,NT43,1,1,NULL,NULL,NULL,NULL,0,0.18,CS,NULL,NULL,NULL,NULL,NULL,NULL,NULL,A,NULL,NULL,NULL,NULL,NULL,NULL
799,AS1,NT43,1,2,NULL,NULL,NULL,NULL,0.18,0.25,SCL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,C,NULL,NULL,NULL,NULL,NULL,NULL
799,AS1,NT43,1,3,NULL,NULL,NULL,NULL,0.25,0.33,SCL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,D,NULL,NULL,NULL,NULL,NULL,NULL
799,AS1,NT43,1,4,NULL,NULL,NULL,NULL,0.38,0.61,SCL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
799,AS1,NT43,1,5,NULL,NULL,NULL,NULL,0.61,0.76,FS,NULL,NULL,NULL,NULL,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
799,AS1,NT43,1,6,NULL,NULL,NULL,NULL,0.91,1.06,S,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
799,AS1,NT44,1,1,NULL,NULL,NULL,NULL,0,0.05,MC,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
799,AS1,NT44,1,2,NULL,NULL,NULL,NULL,0.05,0.28,MC,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
799,AS1,NT44,1,3,NULL,NULL,NULL,NULL,0.28,0.45,MC,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
799,AS1,NT44,1,4,NULL,NULL,NULL,NULL,0.45,0.69,MC,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
799,AS1,NT44,1,5,NULL,NULL,NULL,NULL,0.69,0.91,MC,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
799,AS1,NT44,1,6,NULL,NULL,NULL,NULL,0.91,1.14,MC,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
799,AS1,NT45,1,1,NULL,NULL,NULL,NULL,0,0.01,SL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,D,NULL,NULL,NULL,NULL,NULL,NULL
799,AS1,NT45,1,2,NULL,NULL,NULL,NULL,0.01,0.1,SCL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,D,NULL,NULL,NULL,NULL,NULL,NULL
799,AS1,NT45,1,3,NULL,NULL,NULL,NULL,0.1,0.3,SCL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,D,NULL,NULL,NULL,NULL,NULL,NULL
799,AS1,NT45,1,4,NULL,NULL,NULL,NULL,0.3,0.4,SLC,NULL,NULL,NULL,NULL,NULL,NULL,NULL,D,NULL,NULL,NULL,NULL,NULL,NULL
799,AS1,NT45,1,5,NULL,NULL,NULL,NULL,0.4,0.59,SLC,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
799,AS1,NT45,1,6,NULL,NULL,NULL,NULL,0.59,0.76,SMC,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
799,AS1,NT45,1,7,NULL,NULL,NULL,NULL,0.76,1.01,SMC,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,10R4/8 WITH WHITISH WEATHERED STONE,NULL,NULL,NULL
799,AS1,NT46,1,1,NULL,NULL,NULL,NULL,0,0.08,CS,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
799,AS1,NT46,1,2,NULL,NULL,NULL,NULL,0.08,0.28,CS,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
799,AS1,NT46,1,3,NULL,NULL,NULL,NULL,0.28,0.61,CS,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
799,AS1,NT46,1,4,NULL,NULL,NULL,NULL,0.61,1.04,CS,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
799,AS1,NT46,1,5,NULL,NULL,NULL,NULL,1.11,1.37,S,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
799,AS1,NT47,1,1,NULL,NULL,NULL,NULL,0,0.03,SL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
799,AS1,NT47,1,2,NULL,NULL,NULL,NULL,0.03,0.08,SCL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
